text,index_label,classes,trinary_classes,trinary_class_index
"I feel very dejected today. I got a very low score in my math exam, everybody in class made a joke on me. The rest of my day, I do not feel like doing anything, the sadness, the sorrow just seem to fill in me. When coming home, my parents do not sympathize with me, they instead make me more disheartened.",1,sadness,Negative emotions,0
I feel so lonely today. I have no friends to talk to or hang out with. Everyone at school ignores me or bullies me. They call me names and make fun of my appearance. I wish I had someone who cared about me and understood me. Someone who would listen to me and comfort me. Someone who would make me feel happy and loved.,5,lonely,Negative emotions,0
I feel so angry and irritated today. I had a fight with my parents over my grades. They don’t appreciate how hard I study and how much pressure I face. They only care about the numbers and not about me. They compare me to other kids and make me feel inadequate. They yell at me and punish me for not meeting their expectations. They don’t respect me or support me. So frustrating,0,anger,Negative emotions,0
I feel so hopeless today. I have no future or purpose in life. Everything seems meaningless and pointless. Nothing makes me excited or motivated. Nothing brings me joy or satisfaction. I don’t have any goals or dreams to pursue. I don’t have any skills or talents to offer. I don’t have any value or worth as a person.,3,fear,Negative emotions,0
"I feel so guilty today. I did something terrible that hurt someone I love. I lied to them and betrayed their trust. I broke their heart and ruined our relationship. I felt truly remorseful, concience-stricken, I can’t face them or forgive myself. I can’t undo what I did or make it right. I can’t erase the pain or the regret that I feel.",2,remorse,Negative emotions,0
I feel so scared today. I have to face a challenge that is beyond my abilities. I have to deal with a situation that is out of my control. I have to cope with a change that is unwanted and unexpected. I don’t know what to do or how to handle it. I don’t know what will happen or how it will affect me. I don’t know if I can survive or overcome it.,3,fear,Negative emotions,0
"It's very difficult to put into words the way I feel. It's kind of like a random rollercoaster of emotions - anger, self-hatred, despair, loneliness. I find that if I trigger it, I can swim the waters a little easier. Otherwise, it will attack me when I can least afford it.",11,confusion,Neutral emotions,2
"It's very difficult for me to open up about myself. I can be there for others but feel like if I open up that all dark and vile crap I have built up inside will stain and disgust the person I open up to….Sad thing is that with the training I have had, I know that alcohol is not the answer, but as the Chris Stapleton song 'Whiskey and You' says, I know that it helps in the moment to mask the pain, allowing me to move on.",1,sadness,Negative emotions,0
"I’m fricken angry!  Things aren’t going the way I want and I’m pissed.  Your career is not where you want it to be, you have no wife and family, and how are you going to pay the bills?",0,anger,Negative emotions,0
At the end of this meditation I felt much more at peace.  I knew that what I really needed was to connect to my inner parts and find a peaceful relationship there before moving on with my day.,8,optimism,Positive emotions,1
"Sometimes the self-loathing gets the better of me. The thoughts of suicide start running rampant. I can say that I have only gotten close a couple of times. I think that my self-loathing is, in part, the reason for my depression",4,depression,Negative emotions,0
Sometimes I hate myself so much that I think about ending my life. The suicidal thoughts become very strong and frequent. I have only been close to doing it a few times. I believe that my self-hatred is partly the cause of my depression.,4,depression,Negative emotions,0
"contemplate ending my life. The thoughts of suicide become more intense and frequent. Although I have only come close to attempting it a few times, I believe that my self-hatred is one of the reasons for my depression.",4,depression,Negative emotions,0
"Sometimes I feel so much self-hatred that I consider ending my life. The suicidal thoughts become more intense and frequent. Although I have only come close to attempting it a few times, I believe that my self-loathing is one of the reasons for my depression.",4,depression,Negative emotions,0
Today I feel very scared. I have to face a challenge that is beyond my abilities. I have to deal with a situation that is out of my control. I have to cope with an unwanted and unexpected change. I don’t know what to do or how to handle it. I don’t know what will happen or how it will affect me. I don’t know if I can survive or overcome it.,3,fear,Negative emotions,0
"Today I feel very down. I received a very low score on my math exam and everyone in class made fun of me. The rest of my day, I don’t feel like doing anything. The sadness and sorrow seem to fill me up. When I got home, my parents didn’t sympathize with me and instead made me feel more disheartened.",1,sadness,Negative emotions,0
"After getting a low score on my math exam and being made fun of by everyone in class, I don’t feel like doing anything for the rest of the day. I’m filled with sadness and sorrow. When I got home, my parents didn’t sympathize with me and instead made me feel more disheartened.",1,sadness,Negative emotions,0
"Today has been really tough. I got a very low score on my math exam and everyone in class made fun of me. The rest of the day, I don’t feel like doing anything. The sadness and sorrow seem to fill me up. When I got home, my parents didn’t sympathize with me and instead made me feel more disheartened.",1,sadness,Negative emotions,0
My girlfriend left me because she thinks I’m not handsome or gifted enough. I feel very depressed and despondent. I hate myself and loathe every aspect of myself.,1,sadness,Negative emotions,0
"My girlfriend has left me since I am not handsome and gifted enough. I felt very depressed, veryt despondent. I hate myself, loatthe every aspect of myself",1,sadness,Negative emotions,0
My girlfriend broke up with me because she thinks I’m not handsome or talented enough. I feel very depressed and hopeless. I hate myself and every aspect of myself.,1,sadness,Negative emotions,0
"My teachers do not appreciate me in the class, she or he always judge me since I always get lowscore.",4,depression,Negative emotions,0
My teachers don’t seem to appreciate me in class. They always judge me because I get low scores. It’s like they’re not seeing the real me and only focusing on my grades. It’s really frustrating and demotivating.,4,depression,Negative emotions,0
I don't think my teachers really like me in class. They always condemn me because I receive poor grades. It seems like people simply see my academics and don't get to know the real me. It's quite discouraging and annoying.,4,depression,Negative emotions,0
I'm so enraged and frustrated right now. My dad and I got into a disagreement about my grades. They don't understand how difficult my studies are or how much strain I am under. They don't care about me; they only care about the stats. They make me feel inferior by making comparisons to other youngsters. They yell at me and chastise me for falling short of their standards. I'm not respected or encouraged by them. Such a pain.,0,anger,Negative emotions,0
"I'm currently so angry and frustrated. My dad and I had a discussion regarding my academic performance. They don't realize how challenging my coursework is or how much pressure I am under. They only worry about the statistics; they don't care about me. They compare me to other kids, which makes me feel inferior. They scream at me and berate me for not living up to their expectations. They don't value me or support me. What a pain.",3,fear,Negative emotions,0
I'm so terrified right now. I have to take on a challenge that is too difficult for me. I have to deal with a circumstance that I have no control over. I have to adjust to an unwelcome and unexpected change. I have no idea what to do or how to deal with it. I have no idea what will occur or how it will impact me. I'm not sure if I can make it through or get through it.,3,fear,Negative emotions,0
"It's incredibly challenging for me to express how I feel. Anger, self-hatred, despair, and loneliness are some of the feelings that are like a random rollercoaster. I discover that if I cause it, I can swim through the water a little more easily. Otherwise, when I can least afford it, it will attack me.",11,confusion,Neutral emotions,2
"I find it exceedingly difficult to put my feelings into words. Feelings like a random rollercoaster include rage, self-loathing, despair, and loneliness. I find that I can move through the water a little more readily if I make it happen. Otherwise, it will attack me when I can least afford it.",11,confusion,Neutral emotions,2
"It is quite tough for me to express my sentiments in words. Rage, self-loathing, despair, and loneliness are a few emotions that can feel like a random rollercoaster. If I force it to happen, I can navigate the water a little more easily. Otherwise, when I can least afford it, it will attack me.",11,confusion,Neutral emotions,2
"I'm constantly irate at everything around me. I'm not sure why people continue to act in ways that I find repugnant. Anyone who looks at me in school, I want to fight them.",0,anger,Negative emotions,0
"I'm constantly irate at everything around me. I'm not sure why people continue to act in ways that I find repugnant. Anyone that looks at me in school makes me want to fight them. My family irritates me, my score enrages me, and my friendships make me angry.",0,anger,Negative emotions,0
"I get angry about everything all the time. I don't understand why people still behave in disgusting ways. I want to fight anyone who stares at me in school. My friends aggravate me, my score aggravates me, and my family aggravates me.",0,anger,Negative emotions,0
"I actually avoid looking people in the face because I prefer to shine, am overly self-aware, and worry that everyone is aware of my true emotions. I'm afraid they'll judge me. I'm constantly frightened and fearful.",3,fear,Negative emotions,0
"I truly avoid eye contact because I like to stand out, am too self-conscious, and am concerned that others are aware of my true feelings. I'm worried they'll criticize me. I'm terrified and afraid all the time.",3,fear,Negative emotions,0
"I was once an adolescent who was always afraid of the dark. Every night, I would turn on all the lights in my room and keep them on until I fell asleep. One night, my parents went out for dinner and left me home alone. I was scared but I didn’t want to show it. I decided to watch TV to distract myself from my fear. As I was watching TV, the power suddenly went out. I was terrified and didn’t know what to do. I tried to turn on my phone’s flashlight but it was dead. I felt like I was trapped in a dark abyss with no way out. After a few minutes of panicking, I remembered that I had a flashlight in my backpack. I quickly grabbed it and turned it on. The light from the flashlight made me feel safe and secure. From that day on, I learned that sometimes the things we fear the most can be overcome with a little bit of courage and resourcefulness.",3,fear,Negative emotions,0
"When I was a teenager, I used to have a fear of the dark. I would turn on every light in my room at night and leave them on until I went to sleep. My parents once left me alone at home while they went out to dinner. Although I was terrified, I tried not to show it. In order to avoid thinking about my dread, I chose to watch TV. I was watching television when the power abruptly went off. I was frightened and unsure of what to do. I attempted to use the flashlight on my phone, but it was dead. I had the impression that I was helplessly",3,fear,Negative emotions,0
"Going to school is a nightmare for me because of the demanding coursework, never-ending tasks, tight deadlines, and feisty classmates. utterly terrifying and dark time of day",3,fear,Negative emotions,0
"Because of the difficult coursework, never-ending projects, strict deadlines, and tenacious peers, going to school is a nightmare for me. absolutely frightening and gloomy hour of the day",3,fear,Negative emotions,0
"Going to school is a nightmare for me because of the challenging courses, never-ending projects, severe deadlines, and tough peers. the most ominous and terrifying time of the day",3,fear,Negative emotions,0
"Talking to my parents is a nightmare since they never pay attention to me. Every time I respond to them, they always find a way to silence me. I'm quite hesitant to speak with them because I always feel so terrified and uneasy when I get home. That's what I constantly feel: anxiety and phobia.",3,fear,Negative emotions,0
"Talking with parents are nightmarish, they never listen to me. they are always shutting me up everytime I respond to them. I feelt very fear to talk with them its quite a terror, apprehension feel in me everytime I come home. Nervousnes, phobia - that;s what I feel through all the time",3,fear,Negative emotions,0
"Since they never listen to me, talking to my parents is a nightmare. They always manage to quiet me once I speak to them. Because I always feel so afraid and nervous when I arrive home, I'm pretty hesitant to talk to them. I am continuously plagued by anxiety and phobia.",3,fear,Negative emotions,0
"Just by being around someone who cares and is awake, I can go from feeling so hopeless to feeling so very hopeful. I lack motivation, are depressed, have a negative mood, and want to give up everything.",1,sadness,Negative emotions,0
"I can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake. Dont feel like doing anything, downmood, downcast, see like in dark color, want to give up everything",1,sadness,Negative emotions,0
"Don't feel like doing anything, are depressed, have a negative mood, and wish you could give up everything. I feel overpowered and defeated. The most of the time, I feel quite pitiful.",1,sadness,Negative emotions,0
"In another person's kitchen, I feel so self-conscious that I feel like I'm painting on their wall. That morning, I noticed that I was a little demoralized; I felt overwhelmed and dejected. The most of the time, I feel quite pitiful.",1,sadness,Negative emotions,0
