0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
103,72955,861,271,0,0,0,21,615,122,0,215,331,459,88,373,0,872,664,0
0,0,0,274,0,601,316,0,242,0,0,565,898,340,92,367,0,0,509,0
776,35,206,81,562,872,388,2,390,566,106,0,822,477,703,402,730,556,0,0
202,0,863,816,271,456,462,727,0,702,296,725,720,749,0,879,0,792,217,0
764,188,0,0,41,157,0,0,65,0,839,521,0,0,648,472,63,139,499,0
593,392,675,0,289,379,773,490,0,41,0,135,0,0,0,33,48,503,407,0
574,0,805,0,684,0,726,0,739,613,462,0,769,5,218,503,767,398,871,0
795,393,0,0,858,554,892,461,0,0,864,743,241,0,96,734,485,407,231,0
749,655,0,541,36,525,160,839,699,243,86,0,0,682,557,574,0,796,28,0
620,556,340,798,331,0,0,348,473,231,190,225,385,377,283,0,628,0,259,0
359,0,456,411,649,0,677,225,819,234,684,664,827,374,672,0,0,233,692,0
113,0,0,0,564,268,510,807,386,387,113,613,625,81,699,113,0,642,220,0
0,855,736,225,385,403,0,0,0,0,0,0,710,0,247,836,439,203,0,0
0,0,0,0,0,0,0,610,0,511,752,144,0,201,124,0,326,464,0,0
0,660,764,0,0,511,147,148,864,711,820,0,0,551,338,872,641,0,473,0
151,0,0,611,0,764,0,346,0,572,881,2,897,304,0,652,453,37,160,0
0,0,99,659,816,208,131,404,0,0,0,0,0,0,0,0,422,0,852,0
254,227,0,510,473,99,153,0,0,878,338,706,822,0,720,0,161,580,801,0
0,0,816,0,896,0,135,195,0,640,0,0,460,883,470,0,22,750,670,0
38,230,365,563,438,776,0,27,226,0,0,609,284,879,0,453,0,0,0,0
516,547,192,49,512,17,172,220,158,477,46,373,518,0,892,745,37,280,349,0
0,302,181,607,0,700,116,191,253,161,0,323,0,18,0,735,566,570,323,0
872,0,792,0,288,854,0,0,155,490,386,785,104,0,811,0,176,39,477,0
682,759,0,867,818,408,0,828,506,825,36,685,20,0,776,512,400,654,883,0
471,143,0,354,834,0,727,854,51,665,698,0,190,125,0,314,570,342,305,0
692,682,838,783,0,444,0,0,53,572,620,5,103,196,0,877,0,350,0,0
867,0,820,656,269,0,636,0,670,0,0,0,831,787,0,58,346,741,474,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
